2250622.8265459375, 13, 1.9065409205E10
2705754.7979356456, 47, 3.2840111691E10
4380, 5627853.298105771
4380000, 39570.92524821728

First population front
Czas podrozy, Zarobek, Stworzony w generacji
2004481.3755606138, 260596, 1
2010893.0562594703, 261011, 0
2023649.9110088926, 263404, 1
2072128.475387885, 264726, 1
2076224.0895439738, 268481, 1
2117414.709498056, 268854, 1
2126648.9760872247, 271795, 1
2138857.1482001194, 271919, 1
2151310.3196274033, 275492, 1
2157103.3113418133, 276734, 1
2182565.715210565, 279300, 1
2304040.725717732, 282305, 1
2473791.5431385427, 286504, 1

Middle population front

Last population front
Czas podrozy, Zarobek, Stworzony w generacji
1398374.8203833513, 278203, 288
1401721.877635504, 284395, 299
1403534.7374739186, 289096, 299
1404842.9379585565, 289424, 296
1415521.0771795046, 292314, 285
1428398.9763961507, 292763, 298
1445942.260563917, 293205, 282
1446056.3841780277, 293877, 282
1469086.151575435, 295441, 297
1480425.6005967378, 296542, 267
1480425.6005967378, 296542, 291
1488867.6638488548, 296802, 276
1501917.6357632966, 297479, 287
1518282.8841344225, 297576, 275
1520314.2572717508, 298896, 275
1528296.1090952735, 301049, 289
1549621.6715055031, 301131, 291
1557419.1187578957, 303168, 293
1605119.5863809455, 303355, 272
1630824.3226619223, 303737, 291
1641027.1681048279, 304038, 255
1649960.9818311576, 304581, 297
1653714.404273882, 304876, 276
1672801.0438195274, 305153, 282
1675878.211738288, 305847, 289
1680775.6202866714, 306088, 289
1713927.5662011872, 306150, 298
1716030.1642189564, 306184, 294
1718286.5245438414, 306713, 269
1742162.8709077933, 306859, 296
1755773.2708963084, 306959, 296
1756024.9868104572, 307179, 262
1777372.9659782897, 307603, 288
1783226.4783810866, 307820, 295
1788728.156268827, 308748, 294
1821907.6595813097, 309873, 290
1914742.3610088439, 310155, 277
1935343.344661722, 310194, 290
1969501.49471502, 310246, 278
1972486.0670037328, 310461, 292
1973917.740294473, 310552, 291
2023856.7519833015, 310729, 299
2045614.069758796, 310743, 295
2052505.3139292502, 310856, 299
2056119.7718888398, 310888, 288
2060997.9754973543, 310908, 295
2071523.4378317045, 311156, 287

