Zarobek, Czas podrozy, Z populacji, Zarobek, Czas podrozy, Z populacji, Zarobek, Czas podrozy, Z populacji, Zarobek, Czas podrozy, Z populacji, 
508659, 1620117.465224054, 173, 528792, 1551613.4757878496, 173, 513209, 1678684.6552479372, 173, 528351, 1641797.69646803, 173, 
508659, 1615376.4031883508, 174, 526949, 1531557.4364987037, 174, 513209, 1675879.9852807561, 174, 528351, 1639784.706215768, 174, 
507978, 1610002.7425628456, 175, 526949, 1530402.4527727228, 175, 511361, 1660909.2496162707, 175, 528660, 1636417.9512739023, 175, 
507978, 1605509.809602036, 176, 526949, 1525848.2558363697, 176, 511361, 1656399.255095216, 176, 527801, 1627198.2244385197, 176, 
507978, 1595695.4038754932, 177, 530693, 1562698.2758553582, 177, 511361, 1653933.413194353, 177, 527801, 1625067.9516683174, 177, 
507978, 1588796.3088868663, 178, 535260, 1633570.5799808824, 178, 511361, 1649266.464257439, 178, 527801, 1619759.8436876088, 178, 
507978, 1583323.6115431453, 179, 535260, 1630466.9902033582, 179, 511711, 1639976.1979095424, 179, 528351, 1618334.4328058052, 179, 
507978, 1579770.220776758, 180, 535387, 1627158.7609764668, 180, 511204, 1635659.9740899275, 180, 528351, 1617145.0692749375, 180, 
507978, 1574312.3647022892, 181, 529315, 1563451.3034980374, 181, 511204, 1632229.88477506, 181, 528351, 1609616.270877686, 181, 
507978, 1568410.5064941712, 182, 529315, 1558431.9582073935, 182, 512290, 1627376.271239246, 182, 528351, 1602200.664435274, 182, 
507978, 1564102.6668399626, 183, 529995, 1557881.733667457, 183, 511879, 1623445.577645588, 183, 528351, 1597238.101350917, 183, 
507557, 1559707.6640404994, 184, 525861, 1543625.7743735833, 184, 512290, 1623040.0746258814, 184, 528351, 1596619.7592290246, 184, 
509059, 1552598.8746463542, 185, 527933, 1549507.5605018486, 185, 512290, 1611134.788754071, 185, 528351, 1587282.773664672, 185, 
509059, 1550424.5283709106, 186, 527933, 1547100.457504678, 186, 511879, 1606956.2583540538, 186, 527801, 1582465.3169925332, 186, 
505806, 1522623.3628417053, 187, 527553, 1542799.2951762679, 187, 511879, 1598924.8865888424, 187, 527801, 1580709.5550063418, 187, 
505806, 1516694.0034489292, 188, 527763, 1537956.3654392976, 188, 512869, 1595781.71050778, 188, 527801, 1578349.9564108932, 188, 
518640, 1648857.6340161413, 189, 528176, 1535018.564928628, 189, 512869, 1592311.2498883938, 189, 527801, 1573531.8681818293, 189, 
518640, 1641896.5992859276, 190, 528176, 1529922.964750646, 190, 512869, 1590668.8836384462, 190, 527140, 1567891.1890736097, 190, 
518444, 1630599.9211459854, 191, 527578, 1526376.3573396497, 191, 512869, 1589180.3595924529, 191, 528058, 1566333.1674455067, 191, 
518444, 1626156.0976372494, 192, 527376, 1525261.3909672725, 192, 513083, 1586618.837720492, 192, 528058, 1562919.7077709173, 192, 
518640, 1617274.7262355231, 193, 527376, 1522196.2406305163, 193, 513852, 1583244.4410271544, 193, 528552, 1550006.5025134666, 193, 
518640, 1614225.1359832215, 194, 527376, 1521705.4285132887, 194, 513852, 1579109.178524018, 194, 528552, 1548806.1323615038, 194, 
517716, 1603918.6299243078, 195, 527376, 1507983.865363627, 195, 514384, 1571231.7334813229, 195, 527748, 1541127.6255472458, 195, 
517716, 1596335.97786534, 196, 535313, 1584128.9384957228, 196, 513932, 1568754.1469956732, 196, 527748, 1533858.5817011215, 196, 
509858, 1519524.8703382572, 197, 535313, 1578342.3168670887, 197, 513932, 1562935.090122675, 197, 527748, 1530627.830756725, 197, 
510591, 1515774.7359237438, 198, 531939, 1550599.3432809021, 198, 513932, 1562473.4089547496, 198, 528871, 1531821.867874579, 198, 
510591, 1513147.5612118547, 199, 531847, 1547176.6894932115, 199, 513932, 1561189.814854149, 199, 528871, 1529934.626058989, 199, 
511222, 1510497.3365402925, 200, 531847, 1541505.4823865632, 200, 513614, 1555985.3942227403, 200, 528871, 1527584.2028785562, 200, 
